Listing Date,Original Price,Address,Address 2,State,City,Zip,MLS #,Bedrooms,Full Baths,Sold Price,Closing Date,Total Heated Sq Ft,Selling Agent - Agent Name,Selling Office - Office Name,Status Date,Listing Agent - Agent Name,Listing Office - Office Name,Input Date,Number of Acres,Photo,Last Photo Update Date
9/28/2025,"$249,999",1315 Rabbit Ln.,,SC,Conway,29526,2523680,3,2,"$235,000",1/8/2026,1568,Joe M Scaturro,Keller Williams The Forturro Group,1/12/2026,Joe M Scaturro,Keller Williams The Forturro Group,9/28/2025 1:56 PM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2523680/0/120/90/2ce8e87c877858346558dc30158b0c29/5/b0c6caa9f4983500bd4ae65faac539e7/2523680-3b98d436-fa07-4ee1-999e-ff25924a865d.JPG,
4/28/2025,"$244,999",115 Forman Way,,SC,Aynor,29511,2510566,3,2,"$235,000",6/30/2025,1680,Carson M Evans,Sloan Realty Group,6/30/2025,Joe M Scaturro,Keller Williams The Forturro Group,4/28/2025 6:51 AM,1.15,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2510566/0/120/90/ec9dc06973d0a3b929735943cedc0490/5/8c72d49e41482b91951778279c57d4e6/2510566-28ab9c6f-2431-4ff0-ac1c-89a2ee937278.JPG,
5/23/2024,"$249,999",3021 Fowler Rd.,,SC,Loris,29569,2412502,4,2,"$235,000",8/19/2024,1680,Sally Richa,Weichert Realtors Southern Coast,8/19/2024,Joe M Scaturro,Keller Williams The Forturro Group,5/23/2024 11:00 AM,0.98,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2412502/0/120/90/fdb738f09d3cb83bc32a3c32e8ee6b56/5/d2baa417f7444d32651e6fa8895ca9d2/2412502-206f1cf5-b93a-4299-8e30-82c672c0ef5e.JPG,
5/10/2024,"$259,999",2862 Moores Mill Rd.,,SC,Aynor,29511,2411474,4,2,"$237,499",9/10/2024,1680,Courtney S Moore,RE/MAX Southern Shores-Conway,9/10/2024,Joe M Scaturro,Keller Williams The Forturro Group,5/10/2024 10:49 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2411474/0/120/90/8c94a090037db10cc2d9b2b76582aa86/5/f01651b266b06b930e1b34bb183c60d7/2411474-5b6db1bf-cc54-4179-8bc5-bb39e6abb2b7.JPG,
7/25/2025,"$239,999",1300 Rabbit Ln.,,SC,Conway,29526,2518182,4,2,"$239,000",9/26/2025,1792,The Greg Sisson Team,The Ocean Forest Company,9/26/2025,Joe M Scaturro,Keller Williams The Forturro Group,7/25/2025 9:54 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2518182/0/120/90/6eea47081d12fed2dcd3117d0b3a447e/5/7a5009c15a5c019d76f95e906d489de8/2518182-3366015F-3383-4024-8912-ABB6CE9774D1.JPG,
3/25/2024,"$239,999",3874 Wayside Rd.,,SC,Conway,29527,2407324,3,2,"$239,000",6/24/2024,1568,Nina L Avery,Realty ONE Group Dockside,6/25/2024,The Forturro Group,Keller Williams Innovate South,3/25/2024 9:04 AM,0.39,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2407324/0/120/90/bc7e8476ee703817f41de945f9330ab6/5/c742a2fb2d5e15674a7ea9c25494dcae/2407324.JPG,
2/3/2026,"$249,999",2012 Pint Circle,,SC,Longs,29568,2602963,4,2,"$239,900",3/16/2026,1904,Stephanie Everett,Keller Williams Innovate South,3/17/2026,Joe M Scaturro,Keller Williams The Forturro Group,2/3/2026 9:43 AM,0.53,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2602963/0/120/90/01b2473e73d4ddc20c0665b674d458f7/0/2f67a939696fba1e3840a7984742b331/2602963-5B80F48F-9001-472A-A40F-F10B485CD602.JPG,
1/1/2025,"$249,999",8735 W Highway 19,,SC,Loris,29569,2428862,3,2,"$239,999",4/4/2025,1500,Mathea N Arruda,Agent Group Realty - MB,4/8/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/1/2025 11:33 AM,1.47,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2428862/0/120/90/4218861143e6a854212586d25bec507d/5/b2575b2dcfc6455db01b05f3e4c2e07b/2428862-e161cd0e-ac37-4956-80ce-7cdc578686a7.JPG,
10/27/2025,"$237,499",108 Forman Way,,SC,Aynor,29511,2525965,4,2,"$240,000",12/11/2025,1792,Patrick Webster,Duncan Group Properties,12/19/2025,Joe M Scaturro,Keller Williams The Forturro Group,10/27/2025 11:25 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2525965/0/120/90/d8dd684094767648c592e04d088d3583/5/802399af093e0313b72a731aad5b2881/2525965-E1FBB0B6-D595-4D08-B845-E297D807C036.JPG,
2/20/2026,"$249,999",1329 Rabbit Ln.,,SC,Conway,29526,2604537,3,2,"$245,000",6/5/2026,1568,Jesse Fennell,CENTURY 21 Broadhurst,6/8/2026,Joe M Scaturro,Keller Williams The Forturro Group,2/20/2026 12:08 PM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2604537/0/120/90/1fc7ae4476d076582a2dda4dda5e2f4f/0/ebf4b4fa9c5744801f380d0eb08af69f/2604537-7CB25B49-9ED2-4530-AF17-75AF8B24094B.JPG,
1/26/2024,"$224,999",8727 W Highway 19,,SC,Loris,29569,2402266,3,2,"$247,500",8/23/2024,1456,Isaiah S Hernandez,Keller Williams The Forturro Group,8/28/2024,The Forturro Group,Keller Williams Innovate South,1/26/2024 6:33 PM,1.82,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2402266/0/120/90/565a9176a372e65b6ec2a49bdf938b87/5/146623b7f2ed6610f546535bf974b5ab/2402266.JPG,
10/22/2024,"$249,999",2842 Moores Mill Rd.,,SC,Aynor,29511,2424359,3,2,"$249,999",12/20/2024,1750,Jessica B Ross,eXp Realty LLC,12/20/2024,Joe M Scaturro,Keller Williams The Forturro Group,10/22/2024 10:07 AM,1.86,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2424359/0/120/90/fdce1dba49740c8a9452b2dc9177a90f/5/f973f36e63e100b84c2665dd49e382b9/2424359-87a2421a-1104-4171-829e-83859814cc82.JPG,
7/20/2025,"$244,999",1301 Rabbit Ln.,,SC,Conway,29526,2517729,4,2,"$250,000",1/28/2026,1680,Duffy Bisesto Group,RE/MAX Executive - Grande Dunes,1/29/2026,Joe M Scaturro,Keller Williams The Forturro Group,7/20/2025 7:26 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2517729/0/120/90/2cd10ecb999fd10c8fd27d0d0ae7330d/5/f86d414ca5d97449894af4ac4cf74888/2517729-2d11bd2d-d23f-439b-91af-955390cab385.JPG,
5/9/2024,"$259,999",2866 Moores Mill Rd.,,SC,Aynor,29511,2411437,3,2,"$250,000",7/26/2024,1568,The Roark Group,RE/MAX Executive,7/29/2024,Joe M Scaturro,Keller Williams The Forturro Group,5/9/2024 10:21 PM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2411437/0/120/90/acd319181d72933915014357ff80e796/5/7ed17b23694c9a86aaa9cac7b7e10e5d/2411437-0f7a04d4-6262-4915-a0a8-1ed7678764a4.JPG,
11/20/2024,"$245,999",128 Forman Way,,SC,Aynor,29511,2426716,4,2,"$253,999",2/4/2025,1680,Kellie M Knaffle,RE/MAX Southern Shores,2/5/2025,Joe M Scaturro,Keller Williams The Forturro Group,11/20/2024 2:31 PM,0.94,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2426716/0/120/90/011c5a3bb9792207620cc84a8c09cc55/5/d7472e46385b26af6b2709b1788be448/2426716-a990f1d5-a599-4e3b-8bc0-43d7a509ecb5.JPG,
9/18/2025,"$254,999",112 Forman Way,,SC,Aynor,29511,2522913,3,2,"$254,999",10/28/2025,1680,Lisa Sullivan,Realty ONE Group DocksideSouth,10/31/2025,Joe M Scaturro,Keller Williams The Forturro Group,9/18/2025 2:43 PM,1.15,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2522913/0/120/90/ce020eaa752861272ed15c0e9bff9f72/5/820dcc5af09e334e5cc6f5fba13c3eae/2522913-2b29bd80-bd86-42ae-a0b7-ece95f153ab3.JPG,
1/11/2025,"$275,000",1305 Rabbit Ln.,,SC,Conway,29526,2500869,3,2,"$255,000",3/10/2025,1736,Filomena M Thompson,Realty ONE Group Dockside,3/11/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/11/2025 1:39 PM,1.17,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2500869/0/120/90/5e65b870008f3b2e8a71a3ee35d0c76e/5/90f740ad9358965b7309ec815f18ee1d/2500869-c7ce35ed-815c-409d-8ad1-b89929ab4366.JPG,
8/11/2025,"$254,999",1321 Rabbit Ln.,,SC,Conway,29526,2519482,3,2,"$255,000",11/25/2025,1580,Kimiko M Cybak,Realty One Group Dockside Cnwy,11/26/2025,Joe M Scaturro,Keller Williams The Forturro Group,8/11/2025 9:41 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2519482/0/120/90/9729c434b4d2a7147bd489f75d7a8836/5/77838466eb6c9ed4d8c78772a20effa6/2519482-9565651C-D123-410C-B7C9-23859961F7E6.JPG,
6/10/2024,"$259,999",2858 Moores Mill Rd.,,SC,Aynor,29511,2413882,4,2,"$259,000",7/23/2024,1904,Dominic Siciliano,Keller Williams The Forturro Group,7/23/2024,Joe M Scaturro,Keller Williams The Forturro Group,6/10/2024 9:04 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2413882/0/120/90/09cb2b8f53e103dc0fd5b21bbebed718/5/673aed86510de0d4429fe37946ee3430/2413882-7E111212-350B-4B36-ABD3-AB41F8E394AB.JPG,
4/25/2025,"$259,999",121 Forman Way,,SC,Aynor,29511,2510477,4,2,"$259,999",7/7/2025,1904,Joe M Scaturro,Keller Williams The Forturro Group,7/10/2025,Joe M Scaturro,Keller Williams The Forturro Group,4/25/2025 5:21 PM,1.14,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2510477/0/120/90/8bb320bb166c7c2141ec1d26028c8faa/5/7ac21962c666c70ffb25940932ae390a/2510477-39A9D991-2C16-47A3-AC28-AFCF9AA776E8.JPG,
9/23/2025,"$264,999",2830 Moores Mill Rd.,,SC,Aynor,29511,2523301,3,2,"$264,999",11/12/2025,1920,Stephanie Everett,BHGRE Paracle Myrtle Beach,11/20/2025,Joe M Scaturro,Keller Williams The Forturro Group,9/23/2025 4:45 PM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2523301/0/120/90/5549d94412d1f41645bb031dd6675016/5/21a3b9cfd3a2b5392755eb99c7c3a9ae/2523301-1AC3550A-11E0-42E5-A217-29BB6AB6E398.JPG,
2/2/2025,"$270,999",1375 Highway 139,,SC,Conway,29526,2502626,3,2,"$265,000",7/3/2025,1680,Kevin D Oxendine,Keller Williams The Forturro Group,7/7/2025,Joe M Scaturro,Keller Williams The Forturro Group,2/2/2025 11:24 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2502626/0/120/90/86ad6025b93cccc3c62aac485679cc5c/5/f7aa48e85705068ee9c2867bd2ee17bf/2502626-89D5DEC9-A28F-4271-9372-C0264CF4AFA6.JPG,
8/1/2024,"$279,999",2854 Moores Mill Rd.,,SC,Aynor,29511,2417924,3,2,"$269,000",9/19/2024,1750,Joe M Scaturro,Keller Williams The Forturro Group,9/23/2024,Joe M Scaturro,Keller Williams The Forturro Group,8/1/2024 6:58 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2417924/0/120/90/c5956a94932f6a4ad2a58762522862d0/5/0ef7302122d07751beaf671841f5477a/2417924-B1D3B646-B9B3-4114-B9A1-5A97DD01C61B.JPG,
2/9/2026,"$270,000",4685 Southland Dr.,,SC,Longs,29568,2603433,4,2,"$270,000",2/5/2026,1920,Joe M Scaturro,Keller Williams The Forturro Group,2/9/2026,Joe M Scaturro,Keller Williams The Forturro Group,2/9/2026 10:29 AM,1.00,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2603433/0/120/90/8f68428d6953330cad71298a15fcb7c1/0/d4986d43d498684ad4e10b4b3d1449d5/2603433-7631235c-fd79-407a-b472-2e05582f3b42.JPG,
