Listing Date,Original Price,Address,Address 2,State,City,Zip,MLS #,Bedrooms,Full Baths,Sold Price,Closing Date,Total Heated Sq Ft,Selling Agent - Agent Name,Selling Office - Office Name,Status Date,Listing Agent - Agent Name,Listing Office - Office Name,Input Date,Number of Acres,Photo,Last Photo Update Date
1/1/2025,"$179,999",3811 Wayside Rd.,,SC,Conway,29527,2428864,3,2,"$179,999",2/13/2025,1120,Brendon Payne Expert Advisors Team,Century 21 The Harrelson Group,2/14/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/1/2025 11:36 AM,0.28,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2428864/0/120/90/02adaa130dd81789748bc305df41637f/5/eb0bff025a4d40272dc33731f9a5ee82/2428864-0629BCF4-1E2B-4DC7-8C2A-8A2525747DCD.JPG,
10/10/2024,"$189,999",3805 Wayside Rd.,,SC,Conway,29527,2423471,3,2,"$184,999",2/14/2025,1120,Joe M Scaturro,Keller Williams The Forturro Group,2/18/2025,Joe M Scaturro,Keller Williams The Forturro Group,10/10/2024 9:44 AM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2423471/0/120/90/22c912671ff8c0d1244a4440c3033d2b/5/27d8e7af0c404f98cf490a89e0bf3af5/2423471-803591FA-A06D-4EDB-8A9E-3CBA9872FA52.JPG,
9/17/2024,"$209,999",2725 Orion Dr.,,SC,Myrtle Beach,29577,2421588,3,2,"$185,000",12/20/2024,1500,George P Akulonis,Coastal Beach Home RE LLC,12/20/2024,Joe M Scaturro,Keller Williams The Forturro Group,9/17/2024 5:25 AM,0.11,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2421588/0/120/90/f9c8512cd077cb48f2bb13fb128dc703/5/3b8dcde4fd952f20e348809bac433f9e/2421588-a4594ae3-15f3-4041-80ac-46ff4cab9ed1.JPG,
1/18/2025,"$185,000",487 N Green Sea Rd.,,SC,Loris,29569,2501466,3,2,"$185,000",4/22/2025,1056,Kathy Ferraro,Latitude 34 Realty,4/22/2025,Joe M Scaturro,Keller Williams The Forturro Group,1/18/2025 3:36 PM,0.50,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2501466/0/120/90/60256eb3f746847c8ba48db661cc8889/5/c5d3b400e70813c5f2b102a1514d2671/2501466-c68d31c0-4bfa-401a-b76d-6e768af00276.JPG,
4/1/2025,"$199,999",2711 W Highway 9 Bypass,,SC,Loris,29569,2508137,3,2,"$190,000",6/27/2025,1456,Jessica C Williams,CB Sea Coast Advantage CF,6/30/2025,Joe M Scaturro,Keller Williams The Forturro Group,4/1/2025 3:28 PM,0.92,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2508137/0/120/90/ad34bf20d21137e454e1609dc24fcc8e/5/949fb623d36e4bf6c6156c502ee584f8/2508137-2fb4ef72-db7e-4453-a769-5ba0ea9410a3.JPG,
12/31/2025,"$199,999",2008 Pint Circle,,SC,Longs,29568,2530174,3,2,"$190,000",3/23/2026,1216,Secure Home Finder Team,Realty ONE Group Dockside,3/25/2026,Joe M Scaturro,Keller Williams The Forturro Group,12/31/2025 8:22 AM,0.24,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2530174/0/120/90/a39a40e432a50e945603c35b42ca8b62/0/60e61367e97fd38711ba0fb647141654/2530174-00576802-68a8-461c-9c9e-df2d81de6b76.JPG,
8/25/2024,"$194,999",117 Melanie Brooke Ln.,,SC,Conway,29527,2419757,3,2,"$190,000",12/4/2024,1120,Chris Koppel Team,INNOVATE Real Estate,12/6/2024,Joe M Scaturro,Keller Williams The Forturro Group,8/25/2024 11:24 AM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2419757/0/120/90/daf33cc99dd1ea5535f631da8d9a32b7/5/82be201654878029bd948aa85fbdca98/2419757-A8627203-B2BF-40F8-AE92-DC5C7B2772DD.JPG,
8/9/2024,"$194,999",129 Melanie Brooke Ln.,,SC,Conway,29527,2418564,3,2,"$192,499",9/24/2024,1120,Courtney S Moore,RE/MAX Southern Shores-Conway,9/25/2024,Joe M Scaturro,Keller Williams The Forturro Group,8/9/2024 5:11 PM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2418564/0/120/90/3e67785c2b6451874cd5ca33f34ac0b0/5/06085333a6ac8980b973739ed79d2684/2418564-33723b13-4b12-4f38-9654-01688d74fa5b.JPG,
3/5/2025,"$219,999",3816 Wayside Rd.,,SC,Conway,29527,2505519,3,2,"$198,000",6/24/2025,1568,Dawn Safer,BHHS Myrtle Beach Real Estate,6/25/2025,Joe M Scaturro,Keller Williams The Forturro Group,3/5/2025 3:06 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2505519/0/120/90/68be744334c836607b47b81bc18db5a2/5/40fa9f330241a12b5db2b1ef45dcca6a/2505519-d06e0be1-d6fd-4b8d-9cde-36c2f44b061f.JPG,
5/19/2025,"$199,999",491 N Green Sea Rd.,,SC,Loris,29569,2512540,3,2,"$199,000",7/9/2025,1344,Natalie Cruse,Keller Williams Oak and Ocean,7/10/2025,Joe M Scaturro,Keller Williams The Forturro Group,5/19/2025 12:20 PM,0.78,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2512540/0/120/90/31dcb5a7ecebd11b8783f949da67a5d9/5/1034230a912e20a3bb68cde9a96332c8/2512540-007220dd-27d6-414a-a827-75b194a158c7.JPG,
3/9/2025,"$217,500",495 N Green Sea Rd.,,SC,Loris,29569,2505870,3,2,"$200,000",5/15/2025,1344,Barbara A Laverty,Realty ONE Group Dockside,5/19/2025,Joe M Scaturro,Keller Williams The Forturro Group,3/9/2025 9:54 AM,0.58,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2505870/0/120/90/5bf0474f6a54440f7bdb6d3303ad7d38/5/78f4b22f48b80f53a4edfd01084c2c53/2505870-56A2587B-9644-4999-9C79-750C8F0D30B5.JPG,
10/22/2024,"$214,999",3645 Wayside Rd.,,SC,Conway,29527,2424403,3,2,"$201,999",11/27/2024,1456,Lorie Graham,Keller Williams Innovate South,12/2/2024,Joe M Scaturro,Keller Williams The Forturro Group,10/22/2024 3:03 PM,0.22,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2424403/0/120/90/839295cbb7e09057b693a0a3cfadc65f/5/dbcaf54c3cfda443733290d3650b2a67/2424403-2acb7d5d-3f9f-48c1-b1d8-a8ea42655f55.JPG,
10/21/2024,"$199,999",3807 Wayside Rd.,,SC,Conway,29527,2424270,3,2,"$205,000",1/29/2025,1456,Andrew D Durham,Century 21 Palms Realty,1/29/2025,Joe M Scaturro,Keller Williams The Forturro Group,10/21/2024 10:12 AM,0.22,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2424270/0/120/90/3199eb70303c901824f7cd3929803e86/5/dfa6163ea935b1b6c82445f7e8a5b8b4/2424270-a239a9e2-5b35-4f48-91a1-fbe6dd00c9a6.JPG,
1/19/2024,"$214,999",673 Rose Moss Rd.,,SC,Conway,29527,2401594,3,2,"$207,000",4/18/2024,1456,Robert D Ward,"Wave Beach Realty, LLC",4/19/2024,The Forturro Group,Keller Williams Innovate South,1/19/2024 11:58 AM,0.28,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2401594/0/120/90/91d40c4273dae1df7d96d1b70966c81c/5/b48c4fadf3f9debfe1096ded74c404dd/2401594-6a8cfa1c-40ca-4cf2-b005-97128e4733be.JPG,
4/6/2026,"$209,999",2016 Pint Circle,,SC,Longs,29568,2608944,3,2,"$209,999",5/21/2026,1568,Right Find Homes Team,EXP Realty LLC,5/22/2026,Joe M Scaturro,Keller Williams The Forturro Group,4/6/2026 4:39 PM,0.22,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2608944/0/120/90/3c19efa5c30a3e3add8df2557a87a0f3/0/15e8b146cffeff9b63d9e9937848b031/2608944-415CAFC7-E296-465E-8B02-E0EC94F626D0.JPG,
5/1/2025,"$210,000",501 N Green Sea Rd.,,SC,Loris,29569,2519502,3,2,"$210,000",8/5/2025,1568,Joe M Scaturro,Keller Williams The Forturro Group,8/11/2025,Joe M Scaturro,Keller Williams The Forturro Group,8/11/2025 11:07 AM,0.57,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2519502/0/120/90/5e150b624182e012af866684d987e6d2/5/03e7d92d6aed12cabb1a9b5e38a11490/2519502-347e0020-ada5-419e-b639-0cd645e55e04.JPG,
12/2/2024,"$219,999",3641 Wayside Rd.,,SC,Conway,29527,2427332,3,2,"$210,000",7/15/2025,1568,Ali Ferrari,RE/MAX Southern Shores,7/16/2025,Joe M Scaturro,Keller Williams The Forturro Group,12/2/2024 9:16 AM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2427332/0/120/90/adb021021c1d583acfc18f444edaa139/5/c397f22e669c047421133a2a26ea5800/2427332-2C16575F-E9EF-436C-AE6B-FBD0CE7AAE21.JPG,
7/25/2024,"$214,999",121 Melanie Brooke Ln.,,SC,Conway,29527,2417495,3,2,"$215,000",8/27/2024,1456,Right Find Homes Team,Keller Williams Innovate South,8/28/2024,Joe M Scaturro,Keller Williams The Forturro Group,7/25/2024 6:56 PM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2417495/0/120/90/2876dd7abf75c61d77fc48c62f3d90c6/5/8b58b44f47f881f88dacb9dbfaa2c8b8/2417495-57e56435-fd11-4cda-a1ce-6f09d7af3e5f.JPG,
9/1/2024,"$217,499",309 Duck Cove Rd.,,SC,Conway,29527,2420377,4,2,"$215,000",1/31/2025,1680,Cheryl L Smith,Duncan Group Properties,2/3/2025,Joe M Scaturro,Keller Williams The Forturro Group,9/1/2024 12:33 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2420377/0/120/90/40975fa8c59ba5cae73be75815469f4c/5/609945a2bf268061d37d40d2f5b4486c/2420377-DE15C681-9544-43A6-8DAE-90B51A0C5A04.JPG,
2/15/2024,"$219,999",105 Melanie Brooke Ln.,,SC,Conway,29527,2403974,3,2,"$215,900",4/25/2024,1456,Robert L Newman,"Ideal Homes Real Estate, LLC",4/25/2024,The Forturro Group,Keller Williams Innovate South,2/15/2024 3:40 PM,0.32,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2403974/0/120/90/b879201c528547fd6a33e0457e0ab8c7/5/f756fec6838faf1780c0e4a4b4e9b95a/2403974-2f302ef0-bd79-47d8-ad9a-02f624a43abe.JPG,
1/1/2024,"$239,999",3500 Wayside Rd.,,SC,Conway,29527,2400068,3,2,"$217,500",4/4/2024,1456,Linda L McLenithan,Jason Mitchell Real Estate,4/5/2024,The Forturro Group,Keller Williams Innovate South,1/1/2024 8:49 AM,0.64,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2400068/0/120/90/f49741ab05c0e0cb2c7cdd22cd98bf55/5/5196ccd3a589dc0aad8f989ac54123ab/2400068-03e8dc04-b1ca-429d-b4f4-fd797701487c.JPG,
5/9/2024,"$214,999",113 Melanie Brooke Ln.,,SC,Conway,29527,2411320,3,2,"$220,000",6/6/2024,1456,Finigan Properties Team,Keller Williams Innovate South,6/7/2024,The Forturro Group,Keller Williams Innovate South,5/9/2024 5:21 AM,0.33,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2411320/0/120/90/5671b0e111701abe07f07c5231e68bd4/5/f9f8d69a17699443360e3065043b6d90/2411320-64c7df39-27c8-475b-8717-7444cdf5f859.JPG,
9/1/2024,"$219,999",3809 Wayside Rd.,,SC,Conway,29527,2420375,4,2,"$220,000",10/24/2024,1680,Barron Calvert,Sloan Realty Group,10/24/2024,Joe M Scaturro,Keller Williams The Forturro Group,9/1/2024 12:29 PM,0.23,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2420375/0/120/90/2104b2c8d06bef224a440186ccebdea6/5/c519f4f202100a0fea9713d632f7af2b/2420375-8251A0B0-6903-4FB4-A3DB-7FA9AAC3758E.JPG,
9/2/2025,"$214,999",101 Pepe Court,,SC,Conway,29527,2521391,3,2,"$224,000",2/2/2026,1456,The Coastal Realm Group of the Carolinas,eXp Realty LLC,2/5/2026,Joe M Scaturro,Keller Williams The Forturro Group,9/2/2025 1:45 PM,0.20,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2521391/0/120/90/30bf479cc06eec837d5e5a83df256c0c/5/271bc9aa4443fe4ff991f99a8f737773/2521391-F07FFB41-16BD-4DCC-AC1B-0C3E616DBA60.JPG,
9/2/2025,"$229,999",100 Pepe Court,,SC,Conway,29527,2521398,3,2,"$224,999",12/18/2025,1344,Stephanie Everett,BHGRE Paracle Myrtle Beach,12/19/2025,Joe M Scaturro,Keller Williams The Forturro Group,9/2/2025 2:13 PM,0.20,https://zimg.paragon.ice.com/ParagonImages/Property/PE/CCAR/2521398/0/120/90/b8aeb0c62cd800b292eb10cfec7eceba/5/d295380fa2689e5480cbd28d3e666ce7/2521398-3A0480D9-2E46-4E38-A676-CC76AD8B91C2.JPG,
